Data,Tipo,Pratos Principais,Acompanhamentos,Bebidas,Sobremesas
2023-10-11,Almoço,Cozido; Torta Madalena de Soja,"Salada Crua; Salada Cozida: Abóbora, Batata-doce e Batata; Pirão; Feijão Mulatinho; Arroz Colorido",Suco,Fruta
2023-10-11,Jantar,Toscana Acebolada; Bolinho de Soja,Salada Crua; Canjiquinha; Sopa de Legumes; Cuscuz; Arroz com Brócolis,Suco; Café; Café com Leite,
2023-10-16,Almoço,Torta Salgada Vegetariana; Estrogonofe de Jaca,"Salada Crua; Salada Cozida: Abóbora, Batata e Chuchu; Purê Misto; Feijão Mulatinho; Arroz Refogado",Suco,Fruta
2023-10-16,Jantar,Salsicha ao Molho; Estrogonofe de Grão-de-bico,Salada Crua; Sopa de Legumes com Carne; Creme de Abóbora; Inhame; Espaguete ao Alho e Óleo,Suco; Café; Café com Leite,
2023-10-17,Almoço,Frango ao Molho Cremoso; Assado de Lentilha com Legumes,"Salada Crua; Salada Cozida: Batata, Chuchu e Cenoura com Parmesão; Batata ao Forno; Feijão Mulatinho; Arroz com Cenoura",Suco,Doce de Goiaba
2023-10-17,Jantar,Charque Acebolada; Soja Refogada,Salada Crua; Arroz Doce; Creme de Cenoura; Cuscuz; Arroz Branco,Suco; Café; Café com Leite,
2023-10-18,Almoço,Suíno Acebolado; Soja ao Sugo,"Salada Crua; Salada Cozida: Abóbora, Batata-doce e Repolho; Farofa; Feijão Preto; Arroz Branco",Suco,Fruta
2023-10-18,Jantar,Frango ao Molho de Queijo; Lasanha de Berinjela,Salada Crua; Sopa de Legumes com Frango; Sopa de Legumes; Macaxeira; Arroz com Milho,Suco; Café; Café com Leite,
2023-10-19,Almoço,Guisado com Batatas; Bobó de Grão-de-bico,"Salada Crua; Salada Cozida: Batata, Vagem e Cenoura; Macarrão ao Alho e Óleo; Feijão Mulatinho; Arroz Refogado",Suco,Chocolate
2023-10-19,Jantar,Suíno ao Molho; Soja com Legumes,Salada Crua; Sopa de Feijão com Carne; Caldo Verde; Batata-doce; Espaguete ao Alho e Óleo,Suco; Café; Café com Leite,
2023-10-20,Almoço,Dobradinha; Torta de Legumes,"Salada Crua; Salada Cozida: Abóbora, Batata-doce e Repolho; Farofa; Feijão Preto; Arroz Branco",Suco,Fruta
2023-10-20,Jantar,Isca de Carne Acebolada; Assado de Lentilha,Salada Crua; Mungunzá; Creme de Batata; Cuscuz; Arroz Refogado,Suco; Café; Café com Leite,
2023-10-23,Almoço,Frango na Aveia; Moqueca de Banana com Legumes,"Salada Crua; Salada Cozida: Abóbora, Batata e Chuchu; Macarrão Colorido; Feijão Preto; Arroz com Brócolis",Suco,Picolé
2023-10-23,Jantar,Charque ao Vinagrete; Torta Madalena Vegetariana,Salada Crua; Creme de Abóbora; Sopa de Feijão com Carne; Macaxeira; Arroz com Cenoura,Suco; Café; Café com Leite,
2023-10-24,Almoço,Fígado ao Molho Madeira; Lasanha de Soja,"Salada Crua; Salada Cozida: Batata, Chuchu e Cenoura; Cuscuz Temperado; Feijão Mulatinho; Arroz com Ervilha",Suco,Fruta
2023-10-24,Jantar,Lombo Suíno ao Molho Agridoce; Bobó de Grão-de-bico,Salada Crua; Caldo Verde; Canja; Batata-doce; Espaguete ao Alho e Óleo,Suco; Café; Café com Leite,
2023-10-25,Almoço,Peixe à Gomes de Sá; Lentilha com Cebola Caramelizada,"Salada Crua; Salada Cozida: Batata, Chuchu e Cenoura; Quibebe; Feijão Mulatinho; Arroz com Milho",Suco,Fruta
2023-10-25,Jantar,Calabresa Acebolada; Soja ao Sugo,Salada Crua; Sopa de Legumes; Canjiquinha; Cuscuz; Arroz Colorido,Suco; Café; Café com Leite,
2023-10-26,Almoço,Torta Madalena de Carne; Grão-de-bico com Legumes,"Salada Crua; Salada Cozida: Abóbora, Batata e Chuchu; Macarrão ao Alho e Óleo; Feijão Macassar; Arroz Refogado",Suco,Doce de Goiaba
2023-10-26,Jantar,Fricassê de Frango; Lentilha à Bolonhesa,Salada Crua; Creme de Batata; Sopa de Carne; Inhame; Macarrão ao Alho e Óleo,Suco; Café; Café com Leite,
2023-10-27,Almoço,Feijoada; Torta Salgada de Legumes,"Salada Crua; Salada Cozida: Couve, Repolho e Cenoura; Farofa; Feijão Preto; Arroz Branco",Suco,Fruta
2023-10-27,Jantar,Guisado Bovino; Torta Madalena de Soja,Salada Crua; Sopa de Feijão Vegetariana; Arroz Doce; Cuscuz; Arroz com Brócolis,Suco; Café; Café com Leite,
2023-10-30,Almoço,Lasanha de Soja; Escondidinho de Jaca,"Salada Crua; Salada Cozida: Batata, Cenoura e Vagem; Farofa; Feijão Preto; Arroz Carioca",Suco,Fruta
2023-10-30,Jantar,Frango ao Molho com Batatas; Grão-de-bico com Legumes,Salada Crua; Creme de Cebola; Sopa de Legumes com Carne; Cuscuz; Arroz com Vagem,Suco; Café; Café com Leite,
2023-10-31,Almoço,Vaca Atolada; Bolonhesa de Lentilha,"Salada Crua; Salada Cozida: Abóbora, Batata e Chuchu; Macarrão ao Alho e Óleo; Feijão Mulatinho; Arroz Colorido",Suco,Bolo de Chocolate
2023-10-31,Jantar,Charque; Soja Oriental,Salada Crua; Creme de Cenoura; Sopa de Peixe; Macaxeira; Espaguete ao Sugo,Suco; Café; Café com Leite,
2023-11-01,Almoço,Cozido; Soja ao Sugo,"Salada Crua; Salada Cozida: Batata, Chuchu e Cenoura; Pirão; Feijão Preto; Arroz com Ervilha",Suco,Fruta
2023-11-01,Jantar,Hambúrguer; Ratatouille,Salada Crua; Sopa de Legumes; Mungunzá; Batata-doce; Arroz com Cenoura,Suco; Café; Café com Leite,
2023-11-06,Almoço,Fricassê de Frango; Moqueca de Banana com Legumes,"Salada Crua; Salada Cozida: Abóbora, Batata e Chuchu; Farofa; Feijão Mulatinho; Arroz com Brócolis",Suco,Fruta
2023-11-06,Jantar,Charque ao Vinagrete; Lentilha Assada,Salada Crua; Canja; Sopa de Feijão; Macaxeira; Arroz Carioca,Suco; Café; Café com Leite,
2023-11-07,Almoço,Fígado ao Molho com Batatas; Torta Madalena Vegetariana,"Salada Crua; Salada Cozida: Batata, Vagem e Cenoura; Cuscuz Temperado; Feijão Macassar; Arroz com Ervilha",Suco,Pé-de-moleque
2023-11-07,Jantar,Lombo Suíno ao Molho Agridoce; Grão-de-bico,Salada Crua; Canjiquinha; Creme de Espinafre; Batata-doce; Arroz Branco,Suco; Café; Café com Leite,
2023-11-08,Almoço,Peixe à Zé do Pipo; Grão-de-bico com Legumes,"Salada Crua; Salada Cozida: Abóbora, Chuchu e Beterraba; Abóbora ao Forno; Feijão Mulatinho; Arroz com Milho",Suco,Fruta
2023-11-08,Jantar,Salsicha ao Molho; Escondidinho Vegetariano,Salada Crua; Creme de Cenoura; Sopa de Legumes com Carne; Cuscuz; Espaguete ao Alho e Óleo,Suco; Café; Café com Leite,
2023-11-09,Almoço,Guisado com Batatas; Assado de Lentilha com Legumes,"Salada Crua; Salada Cozida: Abóbora, Batata e Repolho; Espaguete ao Alho e Óleo; Feijão Mulatinho; Arroz com Milho",Suco,Doce de Goiaba
2023-11-09,Jantar,Bife ao Molho; Torta de Legumes,Salada Crua; Creme de Cebola; Sopa de Feijão com Carne; Cará; Espaguete ao Alho e Óleo,Suco; Café; Café com Leite,
2023-11-10,Almoço,Feijoada; Torta de Legumes,"Salada Crua; Salada Cozida: Couve Manteiga, Repolho e Cenoura; Farofa; Feijão Preto; Arroz Branco",Suco,Fruta
2023-11-10,Jantar,Frango Acebolado; Estrogonofe de Jaca,Salada Crua; Sopa de Legumes; Arroz Doce; Cuscuz; Arroz com Cenoura,Suco; Café; Café com Leite,
2023-11-13,Almoço,Bobó de Grão-de-bico; Lasanha de Jaca,"Salada Crua; Salada Cozida: Batata, Cenoura e Vagem; Farofa; Feijão Preto; Arroz Refogado",Suco,Fruta
2023-11-13,Jantar,Coxa e Sobrecoxa ao Forno; Lentilha ao Molho,Salada Crua; Creme de Cebola; Sopa de Legumes com Carne; Cuscuz; Arroz com Vagem,Suco; Café; Café com Leite,
2023-11-14,Almoço,Frango ao Forno; Moqueca de Banana com Legumes,"Salada Crua; Salada Cozida: Batata, Chuchu e Cenoura; Purê de Batata; Feijão Mulatinho; Arroz com Ervilha",Suco,Fruta
2023-11-14,Jantar,Lombo Suíno ao Molho Agridoce; Soja Oriental,Salada Crua; Sopa de Feijão Vegetariana; Sopa de Peixe; Macaxeira; Arroz Refogado,Suco; Café; Café com Leite,
2023-11-16,Almoço,Suíno ao Molho Barbecue; Soja Refogada,"Salada Crua; Salada Cozida: Batata, Cenoura, Chuchu e Ervilha; Espaguete ao Alho e Óleo; Feijão Mulatinho; Arroz com Cenoura",Suco,Paçoca
2023-11-16,Jantar,Calabresa Acebolada; Grão-de-bico com Legumes,Salada Crua; Creme de Abóbora; Sopa de Feijão com Carne; Inhame; Espaguete com Ervas,Suco; Café; Café com Leite,
2023-11-17,Almoço,Dobradinha; Vatapá de Jaca,"Salada Crua; Salada Cozida: Abóbora, Batata-doce e Cenoura; Farofa; Feijão Preto; Arroz Branco",Suco,Fruta
2023-11-17,Jantar,Charque Acebolada; Torta Madalena de Soja,Salada Crua; Sopa de Legumes; Mungunzá; Cuscuz; Arroz Branco,Suco; Café; Café com Leite,
2023-11-20,Almoço,Peixe à Gomes de Sá; Torta de Repolho,"Salada Crua; Salada Cozida: Batata, Cenoura, Vagem e Milho; Quibebe; Feijão Mulatinho; Arroz Refogado",Suco,Fruta
2023-11-20,Jantar,Frango Xadrez; Bobó de Grão-de-bico,Salada Crua; Creme de Batata; Sopa de Peixe; Batata-doce; Arroz Branco,Suco; Café; Café com Leite,
2023-11-21,Almoço,Fígado à Portuguesa; Lasanha de Soja,"Salada Crua; Salada Cozida: Abobrinha, Beterraba e Chuchu; Espaguete ao Alho e Óleo; Feijão Preto; Arroz com Cenoura",Suco,Chocolate
2023-11-21,Jantar,Isca de Carne à Chinesa; Moqueca de Banana com Legumes,Salada Crua; Creme de Cenoura; Canja; Inhame; Espaguete ao Sugo,Suco; Café; Café com Leite,
2023-11-22,Almoço,Isca de Carne à Chinesa; Escondidinho de Jaca,"Salada Crua; Salada Cozida: Vagem, Batata e Cenoura; Cuscuz Temperado; Feijão Macassar; Arroz Colorido",Suco,Fruta
2023-11-22,Jantar,Toscana Acebolada; Bolinho de Soja,Salada Crua; Sopa de Legumes; Canjiquinha; Cuscuz; Arroz com Brócolis,Suco; Café; Café com Leite,
2023-11-23,Almoço,Frango ao Molho Pomodoro; Bolonhesa de Lentilha,"Salada Crua; Salada Cozida: Batata, Cenoura e Chuchu com Molho Branco; Espaguete ao Sugo; Feijão Preto; Arroz com Espinafre",Suco,Picolé
2023-11-23,Jantar,Charque à Brejeira; Lentilha Assada com Legumes,Salada Crua; Sopa de Carne; Sopa de Feijão; Macaxeira; Espaguete ao Alho e Óleo,Suco; Café; Café com Leite,
2023-11-24,Almoço,Cassoulet; Torta Madalena de Soja,"Salada Crua; Salada Cozida: Batata, Repolho e Abóbora; Farofa; Feijão Mulatinho; Arroz Branco",Suco,Fruta
2023-11-24,Jantar,Carré ao Forno; Lasanha de Soja,Salada Crua; Creme de Abóbora; Arroz Doce; Cuscuz; Arroz com Cenoura,Suco; Café; Café com Leite,
2023-11-27,Almoço,Torta Salgada Vegetariana; Vatapá de Jaca,"Salada Crua; Salada Cozida: Abóbora, Batata e Chuchu; Macarrão ao Alho e Óleo; Feijão Mulatinho; Arroz Refogado",Suco,Fruta
2023-11-27,Jantar,Guisado Bovino; Estrogonofe de Grão-de-bico,Salada Crua; Sopa de Legumes com Carne; Creme de Abóbora; Inhame; Espaguete ao Alho e Óleo,Suco; Café; Café com Leite,
2023-11-28,Almoço,Frango ao Molho Cremoso; Assado de Lentilha com Legumes,"Salada Crua; Salada Cozida: Batata, Chuchu e Cenoura com Parmesão; Batata ao Forno; Feijão Mulatinho; Arroz com Cenoura",Suco,Paçoca
2023-11-28,Jantar,Charque à Brejeira; Torta de Legumes,Salada Crua; Creme de Cenoura; Mungunzá; Cuscuz; Arroz Branco,Suco; Café; Café com Leite,
2023-11-29,Almoço,Suíno ao Molho Barbecue; Soja ao Sugo,"Salada Crua; Salada Cozida: Abóbora, Chuchu e Batata; Farofa; Feijão Preto; Arroz Branco",Suco,Fruta
2023-11-29,Jantar,Frango ao Molho de Queijo; Lasanha de Berinjela,Salada Crua; Sopa de Legumes com Frango; Caldo Verde; Macaxeira; Arroz com Milho,Suco; Café; Café com Leite,
2023-11-30,Almoço,Torta Madalena de Carne; Bobó de Grão-de-bico,"Salada Crua; Salada Cozida: Batata, Cenoura e Vagem; Macarrão ao Alho e Óleo; Feijão Mulatinho; Arroz com Espinafre",Suco,Doce de Banana
2023-11-30,Jantar,Suíno ao Molho; Soja com Legumes,Salada; Sopa de Feijão com Carne; Sopa de Legumes; Batata-doce; Espaguete ao Alho e Óleo,Suco; Café; Café com Leite,
2023-12-01,Almoço,Dobradinha; Torta de Legumes,"Salada Crua; Salada Cozida: Abóbora, Batata-doce e Repolho; Farofa; Feijão Preto; Arroz Branco",Suco,Fruta
2023-12-01,Jantar,Hambúrguer; Assado de Lentilha,Salada Crua; Creme de Batata; Mungunzá; Cuscuz; Arroz Refogado,Suco; Café; Café com Leite,
2023-12-04,Almoço,Frango na Aveia; Moqueca de Banana com Legumes,"Salada Crua; Salada Cozida: Abóbora, Batata e Chuchu; Macarrão Colorido; Feijão Preto; Arroz com Brócolis",Suco,Fruta
2023-12-04,Jantar,Charque ao Vinagrete; Torta Madalena Vegetariana,Salada Crua; Sopa de Feijão com Carne; Creme de Abóbora; Macaxeira; Arroz com Cenoura,Suco; Café; Café com Leite,
2023-12-05,Almoço,Fígado ao Molho Madeira; Torta Salgada de Legumes,"Salada Crua; Salada Cozida: Batata, Vagem e Cenoura; Cuscuz Temperado; Feijão Mulatinho; Arroz com Ervilha",Suco,Chocolate
2023-12-05,Jantar,Lombo Suíno ao Molho Agridoce; Bobó de Grão-de-bico,Salada Crua; Caldo Verde; Canja; Batata-doce; Espaguete ao Alho e Óleo,Suco; Café; Café com Leite,
2023-12-06,Almoço,Peixe à Gomes de Sá; Lentilha com Cebola Caramelizada,"Salada Crua; Salada Cozida: Batata, Chuchu e Cenoura; Abóbora ao Forno; Feijão Mulatinho; Arroz com Milho",Suco,Fruta
2023-12-06,Jantar,Salsicha ao Molho; Soja ao Sugo,Salada Crua; Sopa de Legumes; Canjiquinha; Cuscuz; Espaguete ao Alho e Óleo,Suco; Café; Café com Leite,
2023-12-07,Almoço,Cozido; Torta de Falso Camarão,"Salada Crua; Salada Cozida: Repolho, Abóbora e Batata-doce; Pirão; Feijão Mulatinho; Arroz Branco",Suco,Fruta
2023-12-07,Jantar,Fricassê de Frango; Lentilha à Bolonhesa,Salada; Sopa de Carne; Creme de Batata; Inhame; Arroz Colorido,Suco; Café; Café com Leite,
2023-12-11,Almoço,Bolinho de Soja; Lasanha de Jaca,"Salada Crua; Salada Cozida: Batata, Cenoura e Vagem; Farofa; Feijão Mulatinho; Arroz Carioca",Suco,Fruta
2023-12-11,Jantar,Fricassê de Frango; Grão-de-bico com Legumes,Salada Crua; Creme de Cebola; Sopa de Legumes com Carne; Cuscuz; Arroz com Vagem,Suco; Café; Café com Leite,
2023-12-12,Almoço,Suíno ao Molho de Abacaxi; Bolonhesa de Lentilha,"Salada Crua; Salada Cozida: Abóbora, Batata e Chuchu; Batata ao Forno; Feijão Mulatinho; Arroz Colorido",Suco,Pé-de-moleque
2023-12-12,Jantar,Calabresa Acebolada; Soja Oriental,Salada Crua; Creme de Cenoura; Canja; Macaxeira; Espaguete ao Sugo,Suco; Café; Café com Leite,
2023-12-13,Almoço,Frango ao Molho Branco; Grão-de-bico com Legumes,"Salada Crua; Salada Cozida: Batata, Chuchu e Cenoura; Macarrão ao Alho e Óleo; Feijão Mulatinho; Arroz Branco",Suco,Fruta
2023-12-13,Jantar,Torta Madalena de Carne; Ratatouille,Salada Crua; Sopa de Legumes; Arroz Doce; Batata-doce; Arroz Carioca,Suco; Café; Café com Leite,
2023-12-14,Almoço,Vaca Atolada; Vatapá de Jaca,"Salada Crua; Salada Cozida: Vagem, Cenoura e Batata; Cuscuz Temperado; Feijão Preto; Arroz Carioca",Suco,Paçoca
2023-12-14,Jantar,Carré ao Forno; Bolinho de Soja,Salada; Creme de Abóbora; Sopa de Peixe; Cará; Espaguete ao Alho e Óleo,Suco; Café; Café com Leite,
2023-12-15,Almoço,Feijoada; Soja Refogada,"Salada Crua; Salada Cozida: Couve, Repolho e Cenoura; Farofa; Feijão Preto; Arroz Branco",Suco,Fruta
2023-12-15,Jantar,Charque à Brejeira; Moqueca de Banana com Legumes,Salada Crua; Caldo Verde; Canjiquinha; Cuscuz; Macarrão ao Alho e Óleo,Suco; Café; Café com Leite,
2023-12-18,Almoço,Fricassê de Frango; Lasanha de Jaca,"Salada Crua; Salada Cozida: Abóbora, Batata e Chuchu; Farofa; Feijão Preto; Arroz Branco",Suco,Fruta
2023-12-18,Jantar,Charque Acebolada; Abobrinha à Milanesa,Salada Crua; Creme de Batata; Sopa de Feijão com Carne; Macaxeira; Arroz Carioca,Suco; Café; Café com Leite,
2023-12-19,Almoço,Fígado ao Molho Madeira; Moqueca de Banana com Legumes,"Salada Crua; Salada Cozida: Batata, Vagem e Cenoura; Abóbora ao Forno; Feijão Mulatinho; Arroz Carioca",Suco,Picolé
2023-12-19,Jantar,Frango Acebolado; Torta Madalena Vegetariana,Salada Crua; Creme de Espinafre; Canja; Batata-doce; Espaguete ao Alho e Óleo,Suco; Café; Café com Leite,
2023-12-20,Almoço,Moqueca de Peixe; Grão-de-bico com Legumes,"Salada Crua; Salada Cozida: Abobrinha, Repolho e Cenoura; Espaguete ao Alho e Óleo; Feijão Preto; Arroz Refogado",Suco,Fruta
2023-12-20,Jantar,Toscana Acebolada; Soja ao Sugo,Salada Crua; Sopa de Legumes; Mungunzá; Banana Comprida; Espaguete ao Alho e Óleo,Suco; Café; Café com Leite,
2023-12-21,Almoço,Guisado com Batatas; Assado de Lentilha com Legumes,"Salada Crua; Salada Cozida: Abóbora, Batata-doce e Repolho; Cuscuz Temperado; Feijão Preto; Arroz Branco",Suco,Bolo
2023-12-21,Jantar,Pernil ao Molho Madeira; Lentilha com Cebola Caramelizada,Salada; Sopa de Feijão Vegetariana; Canjiquinha; Macaxeira; Arroz com Cenoura,Suco; Café; Café com Leite,
2023-12-22,Almoço,Chester; Bolinho de Soja,"Salada Crua; Salada Cozida: Batata, Chuchu e Cenoura; Farofa; Feijão Mulatinho; Arroz Festivo",Suco,Bolo
2024-01-29,Almoço,Lasanha de Carne; Soja Refogada,"Salada Crua; Salada Cozida: Abóbora, Batata e Chuchu; Farofa; Feijão Mulatinho; Arroz Branco",Suco,Bombom
2024-01-29,Jantar,Charque ao Vinagrete; Torta Madalena Vegetariana,Salada Crua; Creme de Abóbora; Sopa de Feijão com Carne; Macaxeira; Arroz com Cenoura,Suco; Café; Café com Leite,
2024-01-30,Almoço,Peixe à Escabeche; Moqueca de Banana com Legumes,"Salada Crua; Salada Cozida: Batata-doce, Repolho e Abóbora; Espaguete ao Alho e Óleo; Feijão Mulatinho; Arroz Carioca",Suco,Fruta
2024-01-30,Jantar,Lombo Suíno ao Molho Agridoce; Quiche de Cebola,Salada Crua; Caldo Verde; Canja; Batata-doce; Espaguete ao Alho e Óleo,Suco; Café; Café com Leite,
2024-01-31,Almoço,Fricassê de Frango; Grão-de-bico com Legumes,"Salada Crua; Salada Cozida: Abobrinha, Repolho e Cenoura; Purê de Batata; Feijão Preto; Arroz Refogado",Suco,Fruta
2024-01-31,Jantar,Salsicha ao Molho; Soja ao Sugo,Salada Crua; Sopa de Legumes; Canjiquinha; Cuscuz; Espaguete ao Alho e Óleo,Suco; Café; Café com Leite,
2024-02-01,Almoço,Guisado com Batatas; Assado de Lentilha com Legumes,"Salada Crua; Salada Cozida: Abóbora, Batata e Chuchu; Espaguete ao Alho e Óleo; Feijão Mulatinho; Arroz Colorido",Suco,Doce de Goiaba
2024-02-01,Jantar,Bife ao Molho; Torta Salgada Vegetariana,Salada; Canja; Arroz Doce; Cuscuz; Arroz com Cenoura,Suco; Café; Café com Leite,
2024-02-02,Almoço,Feijoada; Torta de Legumes,"Salada Crua; Salada Cozida: Couve Manteiga, Repolho e Cenoura; Farofa; Feijão Preto; Arroz Branco",Suco,Fruta
2024-02-02,Jantar,Frango Acebolado; Soja Caipira,Salada Crua; Sopa de Legumes; Sopa de Feijão com Carne; Cará; Espaguete ao Alho e Óleo,Suco; Café; Café com Leite,
2024-02-05,Almoço,Isca de Carne à Chinesa; Torta de Repolho,"Salada Crua; Salada Cozida: Abobrinha, Beterraba e Chuchu; Cuscuz Temperado; Feijão Mulatinho; Arroz Refogado",Suco,Melão
2024-02-05,Jantar,Frango Xadrez; Bolinho de Soja,Salada Crua; Creme de Batata; Sopa de Peixe; Cuscuz; Arroz Branco,Suco; Café; Café com Leite,
2024-02-06,Almoço,Isca de Fígado à Portuguesa; Risoto de Grão-de-bico,"Salada Crua; Salada Cozida: Batata, Cenoura, Vagem e Milho; Espaguete ao Sugo; Feijão Preto; Arroz com Cenoura",Suco,Paçoca
2024-02-06,Jantar,Torta Madalena de Carne; Ratatouille,Salada Crua; Creme de Cenoura; Canja; Macaxeira; Espaguete ao Sugo,Suco; Café; Café com Leite,
2024-02-07,Almoço,Moqueca de Peixe; Bolonhesa de Lentilha,"Salada Crua; Salada Cozida: Batata, Repolho e Abóbora; Abóbora ao Forno; Feijão Mulatinho; Arroz Colorido",Suco,Fruta
2024-02-07,Jantar,Toscana Acebolada; Bobó de Grão-de-bico,Salada Crua; Sopa de Legumes; Canjiquinha; Cuscuz; Arroz com Brócolis,Suco; Café; Café com Leite,
2024-02-08,Almoço,Frango Caipira; Escondidinho de Jaca,"Salada Crua; Salada Cozida: Cenoura, Batata e Chuchu; Espaguete ao Alho e Óleo; Feijão Macassar; Arroz com Espinafre",Suco,Picolé
2024-02-08,Jantar,Charque à Brejeira; Lentilha Assada com Legumes,Salada; Sopa de Carne; Sopa de Feijão Vegetariana; Batata-doce; Espaguete ao Alho e Óleo,Suco; Café; Café com Leite,
2024-02-09,Almoço,Cassoulet; Torta Madalena de Soja,"Salada Crua; Salada Cozida: Couve Manteiga, Repolho e Cenoura; Farofa; Feijão Preto; Arroz Branco",Suco,Fruta
2024-02-15,Almoço,Suíno ao Molho Barbecue; Soja Refogada,"Salada Crua; Salada Cozida: Cenoura, Batata e Chuchu; Macarrão ao Alho e Óleo; Feijão Mulatinho; Arroz com Cenoura",Suco,Chocolate
2024-02-15,Jantar,Hambúrguer; Grão-de-bico com Legumes,Salada; Creme de Abóbora; Sopa de Feijão com Carne; Inhame; Espaguete com Ervas,Suco; Café; Café com Leite,
2024-02-16,Almoço,Dobradinha; Torta Salgada Vegetariana,"Salada Crua; Salada Cozida: Abóbora, Batata-doce e Cenoura; Farofa; Feijão Preto; Arroz Branco",Suco,Fruta
2024-02-16,Jantar,Charque Acebolada; Torta Madalena de Soja,Salada Crua; Sopa de Legumes; Mungunzá; Arroz Branco; Cuscuz,Suco; Café; Café com Leite,
2024-02-19,Almoço,Empadão de Falso Camarão; Vatapá de Jaca,"Salada Crua; Salada Cozida: Abóbora, Batata e Chuchu; Farofa de Banana; Feijão Mulatinho; Arroz Refogado",Suco,Fruta
2024-02-19,Jantar,Guisado Bovino com Legumes; Estrogonofe de Grão-de-bico,Salada Crua; Mungunzá; Creme de Abóbora; Espaguete ao Alho e Óleo; Inhame,Suco; Café; Café com Leite,
2024-02-20,Almoço,Frango ao Molho de Queijo; Assado de Lentilha com Legumes,"Salada Crua; Salada Cozida: Batata, Chuchu e Cenoura com Parmesão; Batata Gratinada; Feijão Macassar; Arroz com Cenoura",Suco,Doce de Goiaba
2024-02-20,Jantar,Charque à Brejeira; Soja Refogada,Salada Crua; Sopa de Legumes com Carne; Creme de Cenoura; Cuscuz; Arroz Branco,Suco; Café; Café com Leite,
2024-02-21,Almoço,Suíno com Cebola Agridoce; Soja ao Sugo,"Salada Crua; Salada Cozida: Couve, Cenoura e Repolho; Purê de Abóbora; Feijão Preto; Arroz Branco",Suco,Fruta
2024-02-21,Jantar,Calabresa; Abobrinha à Milanesa,Salada Crua; Sopa de Legumes com Frango; Caldo Verde; Espaguete ao Alho e Óleo; Macaxeira,Suco; Café; Café com Leite,
2024-02-22,Almoço,Bife ao Molho Madeira; Grão-de-bico com Legumes,"Salada Crua; Salada Cozida: Abóbora, Batata-doce e Repolho; Macarrão ao Alho e Óleo; Feijão Mulatinho; Arroz com Espinafre",Suco,Pé-de-moleque
